"tid","paper_doi","posted_on","is_retraction_related"
"1147522003416621058","10.1093/gbe/evz120","2019-07-06 15:05:40",""
"1155778446863347712","10.1093/gbe/evz120","2019-07-29 9:53:49",""
"1143317796434194432","10.1371/journal.pone.0166340","2019-06-25 0:39:39",""
"1143318703284600832","10.1371/journal.pone.0166340","2019-06-25 0:43:15",""
"1143319791890866176","10.1371/journal.pone.0166340","2019-06-25 0:47:34",""
"1143530889487540224","10.1371/journal.pone.0166340","2019-06-25 14:46:24",""
"1143620598909800450","10.1371/journal.pone.0166340","2019-06-25 20:42:52",""
"1143678998469402625","10.1371/journal.pone.0166340","2019-06-26 0:34:56",""
"1143681491735633921","10.1371/journal.pone.0166340","2019-06-26 0:44:50",""
"1143920187525275648","10.1371/journal.pone.0166340","2019-06-26 16:33:20",""
"1145858339127091202","10.1371/journal.pone.0166340","2019-07-02 0:54:51",""
"1145860855788998656","10.1371/journal.pone.0166340","2019-07-02 1:04:51",""
"1145864518989438979","10.1371/journal.pone.0166340","2019-07-02 1:19:25",""
"1146059187304058882","10.1371/journal.pone.0166340","2019-07-02 14:12:57",""
"1146062970566270978","10.1371/journal.pone.0166340","2019-07-02 14:27:59",""
"1146072023136952320","10.1371/journal.pone.0166340","2019-07-02 15:03:57",""
"1146095416410329088","10.1371/journal.pone.0166340","2019-07-02 16:36:55",""
"1146245919853203466","10.1371/journal.pone.0166340","2019-07-03 2:34:58",""
"1146623760302247936","10.1371/journal.pone.0166340","2019-07-04 3:36:22",""
"1146672762242469888","10.1371/journal.pone.0166340","2019-07-04 6:51:05",""
"1146996996047343621","10.1371/journal.pone.0166340","2019-07-05 4:19:28",""
"1150377017415745536","10.1371/journal.pone.0166340","2019-07-14 12:10:28",""
"1150377244763807744","10.1371/journal.pone.0166340","2019-07-14 12:11:22",""
"1150377270999212032","10.1371/journal.pone.0166340","2019-07-14 12:11:29",""
"1150387309138911233","10.1371/journal.pone.0166340","2019-07-14 12:51:22",""
"1150550856317751297","10.1371/journal.pone.0166340","2019-07-14 23:41:15",""
"1152957737082511361","10.1371/journal.pone.0166340","2019-07-21 15:05:20",""
"1155499085849419777","10.1371/journal.pone.0166340","2019-07-28 15:23:44",""
"1155500187156189184","10.1371/journal.pone.0166340","2019-07-28 15:28:07",""
"1155509138069381121","10.1371/journal.pone.0166340","2019-07-28 16:03:41",""
"1156035298754613249","10.1371/journal.pone.0166340","2019-07-30 2:54:27",""
"1156213041803010049","10.1371/journal.pone.0166340","2019-07-30 14:40:45",""
"1156215386595086337","10.1371/journal.pone.0166340","2019-07-30 14:50:04",""
"1156373809794097152","10.1371/journal.pone.0166340","2019-07-31 1:19:35",""
"1158043029833420800","10.1371/journal.pone.0166340","2019-08-04 15:52:28",""
"1158043200440983552","10.1371/journal.pone.0166340","2019-08-04 15:53:09",""
"1158043879310077954","10.1371/journal.pone.0166340","2019-08-04 15:55:50",""
"1158075461299314692","10.1371/journal.pone.0166340","2019-08-04 18:01:20",""
"1158776735736979458","10.1371/journal.pone.0166340","2019-08-06 16:27:57",""
"1160584997146976256","10.1371/journal.pone.0166340","2019-08-11 16:13:20",""
"1160669391945719813","10.1371/journal.pone.0166340","2019-08-11 21:48:41",""
"1160936125675929601","10.1371/journal.pone.0166340","2019-08-12 15:28:36",""
"1160936944517427203","10.1371/journal.pone.0166340","2019-08-12 15:31:51",""
"1160950012358119424","10.1371/journal.pone.0166340","2019-08-12 16:23:47",""
"1160950620456726528","10.1371/journal.pone.0166340","2019-08-12 16:26:11","1"
"1161080604710068225","10.1371/journal.pone.0166340","2019-08-13 1:02:42",""
"1161080689552494593","10.1371/journal.pone.0166340","2019-08-13 1:03:02",""
"1161082555480846338","10.1371/journal.pone.0166340","2019-08-13 1:10:27",""
"1163121813733498881","10.1371/journal.pone.0166340","2019-08-18 16:13:44",""
"1163131751348285440","10.1371/journal.pone.0166340","2019-08-18 16:53:14",""
"1163133728534749184","10.1371/journal.pone.0166340","2019-08-18 17:01:05",""
"1163473720633122816","10.1371/journal.pone.0166340","2019-08-19 15:32:05",""
"1163500686736273408","10.1371/journal.pone.0166340","2019-08-19 17:19:15",""
"1163501108175810560","10.1371/journal.pone.0166340","2019-08-19 17:20:55",""
"1165811626060189697","10.1371/journal.pone.0166340","2019-08-26 2:22:06",""
"1165811818444525568","10.1371/journal.pone.0166340","2019-08-26 2:22:51",""
"1165981432923086853","10.1371/journal.pone.0166340","2019-08-26 13:36:51",""
"1165981509385367552","10.1371/journal.pone.0166340","2019-08-26 13:37:09",""
"1166099094475071492","10.1371/journal.pone.0166340","2019-08-26 21:24:23",""
"1166099629957472256","10.1371/journal.pone.0166340","2019-08-26 21:26:31",""
"1166100048922365952","10.1371/journal.pone.0166340","2019-08-26 21:28:11",""
"1166111088330645506","10.1371/journal.pone.0166340","2019-08-26 22:12:03",""
"1168349658965520389","10.1371/journal.pone.0166340","2019-09-02 2:27:20",""
"1168350109672906753","10.1371/journal.pone.0166340","2019-09-02 2:29:07",""
"1168350134046007297","10.1371/journal.pone.0166340","2019-09-02 2:29:13",""
"1168350652562624512","10.1371/journal.pone.0166340","2019-09-02 2:31:17",""
"1168358143325331457","10.1371/journal.pone.0166340","2019-09-02 3:01:03",""
"1168364987447832576","10.1371/journal.pone.0166340","2019-09-02 3:28:14",""
"1168367415945650176","10.1371/journal.pone.0166340","2019-09-02 3:37:53",""
"1168367591821365248","10.1371/journal.pone.0166340","2019-09-02 3:38:35",""
"1168402675932770304","10.1371/journal.pone.0166340","2019-09-02 5:58:00",""
"1168556104764338179","10.1371/journal.pone.0166340","2019-09-02 16:07:40",""
"1170887986701045760","10.1371/journal.pone.0166340","2019-09-09 2:33:44",""
"1173500705182769153","10.1371/journal.pone.0166340","2019-09-16 7:35:45",""
"1173508515421446145","10.1371/journal.pone.0166340","2019-09-16 8:06:47",""
"1173519433140178944","10.1371/journal.pone.0166340","2019-09-16 8:50:10",""
"1173756497320402944","10.1371/journal.pone.0166340","2019-09-17 0:32:10",""
"1174260837768409089","10.1371/journal.pone.0166340","2019-09-18 9:56:15",""
"1174360839010172931","10.1371/journal.pone.0166340","2019-09-18 16:33:37",""
"1175182629584494593","10.1371/journal.pone.0166340","2019-09-20 22:59:07",""
"1175194932597985281","10.1371/journal.pone.0166340","2019-09-20 23:48:00",""
"1175195745017913345","10.1371/journal.pone.0166340","2019-09-20 23:51:14",""
"1176044750870405120","10.1371/journal.pone.0166340","2019-09-23 8:04:53",""
"1176214367928573952","10.1371/journal.pone.0166340","2019-09-23 19:18:52",""
"1176223177388843010","10.1371/journal.pone.0166340","2019-09-23 19:53:53",""
"1178587927959474176","10.1371/journal.pone.0166340","2019-09-30 8:30:33",""
"1181139134313881601","10.1371/journal.pone.0166340","2019-10-07 9:28:08",""
"1181139518407053312","10.1371/journal.pone.0166340","2019-10-07 9:29:40",""
"1181139529744302081","10.1371/journal.pone.0166340","2019-10-07 9:29:43",""
"1181165874545213441","10.1371/journal.pone.0166340","2019-10-07 11:14:24",""
"1181179358909620224","10.1371/journal.pone.0166340","2019-10-07 12:07:59",""
"1142084662774435840","10.11919/j.issn.1002-0829.216064","2019-06-21 14:59:37","1"
"1142090844607926273","10.11919/j.issn.1002-0829.216064","2019-06-21 15:24:11","1"
"1142110922821066752","10.11919/j.issn.1002-0829.216064","2019-06-21 16:43:58","1"
"1139155151485317120","10.1038/s41598-018-31971-9","2019-06-13 12:58:47",""
"1139949980679114752","10.1038/s41598-018-31971-9","2019-06-15 17:37:09","1"
"1141580466438443009","10.1107/s2052252519005761","2019-06-20 5:36:07",""
"1152157081773969414","10.1107/s2052252519005761","2019-07-19 10:03:48",""
"1152162276843106304","10.1107/s2052252519005761","2019-07-19 10:24:27",""
"1136214924823343104","10.1080/10641955.2018.1538378","2019-06-05 10:15:22",""
"1129661715052933120","10.3346/jkms.2019.34.e138","2019-05-18 8:15:15",""
"1129037608967966722","10.1186/s12978-018-0479-6","2019-05-16 14:55:17",""
"1137756201876369408","10.1186/s12978-018-0479-6","2019-06-09 16:19:51",""
"1138003466218029057","10.1186/s12978-018-0479-6","2019-06-10 8:42:24","1"
"1138003547650498560","10.1186/s12978-018-0479-6","2019-06-10 8:42:43","1"
"1161585314290421760","10.1111/tmi.13193","2019-08-14 10:28:14",""
"1162638272440520704","10.4103/ijmr.ijmr_938_17","2019-08-17 8:12:19",""
"1126573670774837252","10.1080/13825585.2019.1598538","2019-05-09 19:44:28",""
"1126735320630697984","10.1080/13825585.2019.1598538","2019-05-10 6:26:48",""
"1126771626731638785","10.1080/13825585.2019.1598538","2019-05-10 8:51:04",""
"1126774912088018945","10.1080/13825585.2019.1598538","2019-05-10 9:04:08",""
"1126775426041372673","10.1080/13825585.2019.1598538","2019-05-10 9:06:10","1"
"1126891712293613571","10.1080/13825585.2019.1598538","2019-05-10 16:48:15","1"
"1127887126367019008","10.1080/13825585.2019.1598538","2019-05-13 10:43:40","1"
"1140151308936069120","10.1097/md.0000000000010240","2019-06-16 6:57:09","1"
"1120323570549362689","10.1371/journal.pone.0182823","2019-04-22 13:48:48","1"
"1118845878486351872","10.1371/journal.pone.0124344","2019-04-18 11:56:59","1"
"1131771890618445824","10.1177/2047487317723212","2019-05-24 4:00:20",""
"1163687759904563200","10.1007/s00228-018-2595-1","2019-08-20 5:42:36",""
"1118863223732736000","10.1016/j.phrs.2018.10.019","2019-04-18 13:05:54","1"
"1118930323553652736","10.1016/j.phrs.2018.10.019","2019-04-18 17:32:32","1"
"1122422121307758592","10.1016/j.phrs.2018.10.019","2019-04-28 8:47:41","1"
"1122422686309867521","10.1016/j.phrs.2018.10.019","2019-04-28 8:49:56","1"
"1122423388209917953","10.1016/j.phrs.2018.10.019","2019-04-28 8:52:44","1"
"1122424949774229505","10.1016/j.phrs.2018.10.019","2019-04-28 8:58:56","1"
"1122428422385364993","10.1016/j.phrs.2018.10.019","2019-04-28 9:12:44","1"
"1122433329926680576","10.1016/j.phrs.2018.10.019","2019-04-28 9:32:14","1"
"1122452253653204992","10.1016/j.phrs.2018.10.019","2019-04-28 10:47:26","1"
"1122456982194200576","10.1016/j.phrs.2018.10.019","2019-04-28 11:06:13",""
"1122469752318853121","10.1016/j.phrs.2018.10.019","2019-04-28 11:56:58","1"
"1122478647699333121","10.1016/j.phrs.2018.10.019","2019-04-28 12:32:18","1"
"1122479862990688258","10.1016/j.phrs.2018.10.019","2019-04-28 12:37:08","1"
"1122487507495673856","10.1016/j.phrs.2018.10.019","2019-04-28 13:07:31","1"
"1122491685773217793","10.1016/j.phrs.2018.10.019","2019-04-28 13:24:07","1"
"1122492674240581634","10.1016/j.phrs.2018.10.019","2019-04-28 13:28:03","1"
"1122501958491762689","10.1016/j.phrs.2018.10.019","2019-04-28 14:04:56","1"
"1122507897664098307","10.1016/j.phrs.2018.10.019","2019-04-28 14:28:32","1"
"1122516848614854658","10.1016/j.phrs.2018.10.019","2019-04-28 15:04:06","1"
"1122517300228136961","10.1016/j.phrs.2018.10.019","2019-04-28 15:05:54",""
"1122524479169748992","10.1016/j.phrs.2018.10.019","2019-04-28 15:34:25","1"
"1122531449263931396","10.1016/j.phrs.2018.10.019","2019-04-28 16:02:07",""
"1122531872859254784","10.1016/j.phrs.2018.10.019","2019-04-28 16:03:48","1"
"1122533359924592640","10.1016/j.phrs.2018.10.019","2019-04-28 16:09:43","1"
"1122536786314649601","10.1016/j.phrs.2018.10.019","2019-04-28 16:23:20","1"
"1122557238084657153","10.1016/j.phrs.2018.10.019","2019-04-28 17:44:36","1"
"1122558866741272576","10.1016/j.phrs.2018.10.019","2019-04-28 17:51:04","1"
"1122564011839623173","10.1016/j.phrs.2018.10.019","2019-04-28 18:11:31","1"
"1122564795050360832","10.1016/j.phrs.2018.10.019","2019-04-28 18:14:38","1"
"1122576009276973056","10.1016/j.phrs.2018.10.019","2019-04-28 18:59:11","1"
"1122578629437739009","10.1016/j.phrs.2018.10.019","2019-04-28 19:09:36","1"
"1122586116945776646","10.1016/j.phrs.2018.10.019","2019-04-28 19:39:21","1"
"1122586933597597697","10.1016/j.phrs.2018.10.019","2019-04-28 19:42:36","1"
"1122588775039885312","10.1016/j.phrs.2018.10.019","2019-04-28 19:49:55","1"
"1122589946622152704","10.1016/j.phrs.2018.10.019","2019-04-28 19:54:34","1"
"1122590026947354631","10.1016/j.phrs.2018.10.019","2019-04-28 19:54:53","1"
"1122590064826093568","10.1016/j.phrs.2018.10.019","2019-04-28 19:55:02","1"
"1122590229406183424","10.1016/j.phrs.2018.10.019","2019-04-28 19:55:42","1"
"1122590632705449985","10.1016/j.phrs.2018.10.019","2019-04-28 19:57:18","1"
"1122597238734303232","10.1016/j.phrs.2018.10.019","2019-04-28 20:23:33","1"
"1122600522480066560","10.1016/j.phrs.2018.10.019","2019-04-28 20:36:36","1"
"1122600555577102336","10.1016/j.phrs.2018.10.019","2019-04-28 20:36:44","1"
"1122600758640304129","10.1016/j.phrs.2018.10.019","2019-04-28 20:37:32","1"
"1122602594923417600","10.1016/j.phrs.2018.10.019","2019-04-28 20:44:50","1"
"1122608397587767298","10.1016/j.phrs.2018.10.019","2019-04-28 21:07:53","1"
"1122608490592317440","10.1016/j.phrs.2018.10.019","2019-04-28 21:08:15","1"
"1122627664886427648","10.1016/j.phrs.2018.10.019","2019-04-28 22:24:27","1"
"1122628176893620226","10.1016/j.phrs.2018.10.019","2019-04-28 22:26:29","1"
"1122631728303169536","10.1016/j.phrs.2018.10.019","2019-04-28 22:40:36","1"
"1122632100665020417","10.1016/j.phrs.2018.10.019","2019-04-28 22:42:04","1"
"1122632286153904128","10.1016/j.phrs.2018.10.019","2019-04-28 22:42:49","1"
"1122633548404535296","10.1016/j.phrs.2018.10.019","2019-04-28 22:47:50","1"
"1122634884206534657","10.1016/j.phrs.2018.10.019","2019-04-28 22:53:08","1"
"1122636506680586240","10.1016/j.phrs.2018.10.019","2019-04-28 22:59:35","1"
"1122646337756045312","10.1016/j.phrs.2018.10.019","2019-04-28 23:38:39","1"
"1122649233213902849","10.1016/j.phrs.2018.10.019","2019-04-28 23:50:09","1"
"1122657864768741376","10.1016/j.phrs.2018.10.019","2019-04-29 0:24:27","1"
"1122658020893319175","10.1016/j.phrs.2018.10.019","2019-04-29 0:25:04","1"
"1122660757991071744","10.1016/j.phrs.2018.10.019","2019-04-29 0:35:57","1"
"1122662597839319041","10.1016/j.phrs.2018.10.019","2019-04-29 0:43:16","1"
"1122663326549463042","10.1016/j.phrs.2018.10.019","2019-04-29 0:46:09","1"
"1122666065522302976","10.1016/j.phrs.2018.10.019","2019-04-29 0:57:02","1"
"1122666304702492673","10.1016/j.phrs.2018.10.019","2019-04-29 0:57:59","1"
"1122669143474548736","10.1016/j.phrs.2018.10.019","2019-04-29 1:09:16","1"
"1122673848833462272","10.1016/j.phrs.2018.10.019","2019-04-29 1:27:58","1"
"1122678087987159040","10.1016/j.phrs.2018.10.019","2019-04-29 1:44:49","1"
"1122685982556545024","10.1016/j.phrs.2018.10.019","2019-04-29 2:16:11","1"
"1122692991259435009","10.1016/j.phrs.2018.10.019","2019-04-29 2:44:02","1"
"1122696062760824833","10.1016/j.phrs.2018.10.019","2019-04-29 2:56:14","1"
"1122698719512555521","10.1016/j.phrs.2018.10.019","2019-04-29 3:06:48","1"
"1122703747895967744","10.1016/j.phrs.2018.10.019","2019-04-29 3:26:46","1"
"1122707946293432321","10.1016/j.phrs.2018.10.019","2019-04-29 3:43:27","1"
"1122707988609785856","10.1016/j.phrs.2018.10.019","2019-04-29 3:43:38","1"
"1122711146857938945","10.1016/j.phrs.2018.10.019","2019-04-29 3:56:11","1"
"1122711347114860550","10.1016/j.phrs.2018.10.019","2019-04-29 3:56:58","1"
"1122720344932896768","10.1016/j.phrs.2018.10.019","2019-04-29 4:32:44","1"
"1122739529050460162","10.1016/j.phrs.2018.10.019","2019-04-29 5:48:57","1"
"1122775285588463616","10.1016/j.phrs.2018.10.019","2019-04-29 8:11:02","1"
"1122785809336295424","10.1016/j.phrs.2018.10.019","2019-04-29 8:52:51","1"
"1122796546658111488","10.1016/j.phrs.2018.10.019","2019-04-29 9:35:31","1"
"1122810635631435776","10.1016/j.phrs.2018.10.019","2019-04-29 10:31:31","1"
"1122811207348629504","10.1016/j.phrs.2018.10.019","2019-04-29 10:33:47","1"
"1122811441579474944","10.1016/j.phrs.2018.10.019","2019-04-29 10:34:43","1"
"1122812260227985408","10.1016/j.phrs.2018.10.019","2019-04-29 10:37:58","1"
"1122815022827212801","10.1016/j.phrs.2018.10.019","2019-04-29 10:48:56","1"
"1122826269249478656","10.1016/j.phrs.2018.10.019","2019-04-29 11:33:38","1"
"1122826901381427200","10.1016/j.phrs.2018.10.019","2019-04-29 11:36:09","1"
"1122826901696012288","10.1016/j.phrs.2018.10.019","2019-04-29 11:36:09","1"
"1122828345580740608","10.1016/j.phrs.2018.10.019","2019-04-29 11:41:53","1"
"1122828425046183936","10.1016/j.phrs.2018.10.019","2019-04-29 11:42:12","1"
"1122829974904250368","10.1016/j.phrs.2018.10.019","2019-04-29 11:48:21","1"
"1122835433409454083","10.1016/j.phrs.2018.10.019","2019-04-29 12:10:03","1"
"1122845515908046851","10.1016/j.phrs.2018.10.019","2019-04-29 12:50:07","1"
"1122846353036664835","10.1016/j.phrs.2018.10.019","2019-04-29 12:53:26","1"
"1122846422729142272","10.1016/j.phrs.2018.10.019","2019-04-29 12:53:43","1"
"1122847201909018625","10.1016/j.phrs.2018.10.019","2019-04-29 12:56:49","1"
"1122847284323127296","10.1016/j.phrs.2018.10.019","2019-04-29 12:57:08","1"
"1122849946808520705","10.1016/j.phrs.2018.10.019","2019-04-29 13:07:43","1"
"1122850184021643265","10.1016/j.phrs.2018.10.019","2019-04-29 13:08:40",""
"1122852247921221632","10.1016/j.phrs.2018.10.019","2019-04-29 13:16:52","1"
"1122853939991334918","10.1016/j.phrs.2018.10.019","2019-04-29 13:23:35","1"
"1122858831887912960","10.1016/j.phrs.2018.10.019","2019-04-29 13:43:01","1"
"1122862408400240642","10.1016/j.phrs.2018.10.019","2019-04-29 13:57:14","1"
"1122872152447967233","10.1016/j.phrs.2018.10.019","2019-04-29 14:35:57","1"
"1122872221683212290","10.1016/j.phrs.2018.10.019","2019-04-29 14:36:14","1"
"1122874551195430914","10.1016/j.phrs.2018.10.019","2019-04-29 14:45:29","1"
"1122882012019216385","10.1016/j.phrs.2018.10.019","2019-04-29 15:15:08","1"
"1122883454889287680","10.1016/j.phrs.2018.10.019","2019-04-29 15:20:52","1"
"1122887820241264641","10.1016/j.phrs.2018.10.019","2019-04-29 15:38:13","1"
"1122889872547532800","10.1016/j.phrs.2018.10.019","2019-04-29 15:46:22","1"
"1122890223095025666","10.1016/j.phrs.2018.10.019","2019-04-29 15:47:46","1"
"1122898013846818816","10.1016/j.phrs.2018.10.019","2019-04-29 16:18:43","1"
"1122899472139341827","10.1016/j.phrs.2018.10.019","2019-04-29 16:24:31","1"
"1122902728097837056","10.1016/j.phrs.2018.10.019","2019-04-29 16:37:27","1"
"1122903408380268544","10.1016/j.phrs.2018.10.019","2019-04-29 16:40:09","1"
"1122905052111179779","10.1016/j.phrs.2018.10.019","2019-04-29 16:46:41","1"
"1122906709436043264","10.1016/j.phrs.2018.10.019","2019-04-29 16:53:16","1"
"1122907278884122631","10.1016/j.phrs.2018.10.019","2019-04-29 16:55:32","1"
"1122908481474969600","10.1016/j.phrs.2018.10.019","2019-04-29 17:00:19","1"
"1122909483687006209","10.1016/j.phrs.2018.10.019","2019-04-29 17:04:18","1"
"1122912733941231616","10.1016/j.phrs.2018.10.019","2019-04-29 17:17:13","1"
"1122918987325681665","10.1016/j.phrs.2018.10.019","2019-04-29 17:42:04","1"
"1122919899511369729","10.1016/j.phrs.2018.10.019","2019-04-29 17:45:41","1"
"1122920559380054022","10.1016/j.phrs.2018.10.019","2019-04-29 17:48:18","1"
"1122926874215075840","10.1016/j.phrs.2018.10.019","2019-04-29 18:13:24","1"
"1122932743023792129","10.1016/j.phrs.2018.10.019","2019-04-29 18:36:43","1"
"1122940915943911425","10.1016/j.phrs.2018.10.019","2019-04-29 19:09:12","1"
"1122940968192417792","10.1016/j.phrs.2018.10.019","2019-04-29 19:09:24","1"
"1122949783000195073","10.1016/j.phrs.2018.10.019","2019-04-29 19:44:26",""
"1122956089698525184","10.1016/j.phrs.2018.10.019","2019-04-29 20:09:29","1"
"1122958324423634946","10.1016/j.phrs.2018.10.019","2019-04-29 20:18:22","1"
"1122959067071139840","10.1016/j.phrs.2018.10.019","2019-04-29 20:21:19","1"
"1122962362238144513","10.1016/j.phrs.2018.10.019","2019-04-29 20:34:25","1"
"1122965178688126976","10.1016/j.phrs.2018.10.019","2019-04-29 20:45:36","1"
"1122971028999802881","10.1016/j.phrs.2018.10.019","2019-04-29 21:08:51","1"
"1122972241422057473","10.1016/j.phrs.2018.10.019","2019-04-29 21:13:40","1"
"1122972609623330816","10.1016/j.phrs.2018.10.019","2019-04-29 21:15:08","1"
"1122973748028567552","10.1016/j.phrs.2018.10.019","2019-04-29 21:19:40","1"
"1122973893592080385","10.1016/j.phrs.2018.10.019","2019-04-29 21:20:14","1"
"1122980224487043074","10.1016/j.phrs.2018.10.019","2019-04-29 21:45:24","1"
"1122988909716221952","10.1016/j.phrs.2018.10.019","2019-04-29 22:19:54","1"
"1122991771842048000","10.1016/j.phrs.2018.10.019","2019-04-29 22:31:17","1"
"1122998512264863744","10.1016/j.phrs.2018.10.019","2019-04-29 22:58:04","1"
"1123003414722404352","10.1016/j.phrs.2018.10.019","2019-04-29 23:17:33","1"
"1123006938978181121","10.1016/j.phrs.2018.10.019","2019-04-29 23:31:33","1"
"1123008222091202560","10.1016/j.phrs.2018.10.019","2019-04-29 23:36:39","1"
"1123011747080577025","10.1016/j.phrs.2018.10.019","2019-04-29 23:50:39","1"
"1123017360883974144","10.1016/j.phrs.2018.10.019","2019-04-30 0:12:58","1"
"1123041084635009024","10.1016/j.phrs.2018.10.019","2019-04-30 1:47:14","1"
"1123045839809724416","10.1016/j.phrs.2018.10.019","2019-04-30 2:06:08","1"
"1123064388082999296","10.1016/j.phrs.2018.10.019","2019-04-30 3:19:50","1"
"1123074720075800576","10.1016/j.phrs.2018.10.019","2019-04-30 4:00:53","1"
"1123082718772727810","10.1016/j.phrs.2018.10.019","2019-04-30 4:32:40","1"
"1123096537012346880","10.1016/j.phrs.2018.10.019","2019-04-30 5:27:35","1"
"1123104917567176704","10.1016/j.phrs.2018.10.019","2019-04-30 6:00:53","1"
"1123107988271783936","10.1016/j.phrs.2018.10.019","2019-04-30 6:13:05","1"
"1123195067701665792","10.1016/j.phrs.2018.10.019","2019-04-30 11:59:06","1"
"1123200470955245568","10.1016/j.phrs.2018.10.019","2019-04-30 12:20:34","1"
"1123251071730823168","10.1016/j.phrs.2018.10.019","2019-04-30 15:41:39","1"
"1123254924991770625","10.1016/j.phrs.2018.10.019","2019-04-30 15:56:57","1"
"1123259373705363457","10.1016/j.phrs.2018.10.019","2019-04-30 16:14:38","1"
"1123260414287122434","10.1016/j.phrs.2018.10.019","2019-04-30 16:18:46","1"
